Codi_Districte,Nom_Districte,Nom_Carrer,Personas,Promedio_Import_Euros,Vehicles
2,Eixample,Ptge Núria,266857,18867.71676300578,128137
9,Sant Andreu,Pl Orfila,149826,15124.747368421053,65745
8,Nou Barris,Pg Ciutat Mallorca,170736,12431.811965811965,66780
1,Ciutat Vella,Paradís,106028,11517.703703703704,33685
1,Ciutat Vella,Pl Sant Agustí,106028,11517.703703703704,33685
7,Horta-Guinardó,Santa Rosalia,172109,15152.317073170732,80895
8,Nou Barris,Carles Soldevila,170736,12431.811965811965,66780
3,Sants-Montjuïc,Pg Agrícola,183770,14625.393162393162,79559
1,Ciutat Vella,Ptge Bacardí,106028,11517.703703703704,33685
7,Horta-Guinardó,Logronyo,172109,15152.317073170732,80895
3,Sants-Montjuïc,T Can Mantega,183770,14625.393162393162,79559
7,Horta-Guinardó,Maria Paretas,172109,15152.317073170732,80895
9,Sant Andreu,Múrcia,149826,15124.747368421053,65745
1,Ciutat Vella,Pg Joan de Borbó,106028,11517.703703703704,33685
7,Horta-Guinardó,Nínive,172109,15152.317073170732,80895
4,Les Corts,Camí Mare Déu Lord,81074,22022.035087719298,48622
9,Sant Andreu,Palomar,149826,15124.747368421053,65745
1,Ciutat Vella,Pas Ensenyança,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Poeta,148201,25606.775510204083,102272
3,Sants-Montjuïc,Av Rius i Taulet,183770,14625.393162393162,79559
6,Gràcia,Sant Joaquim,121915,18340.74712643678,57643
8,Nou Barris,Camí Sant Llàtzer,170736,12431.811965811965,66780
6,Gràcia,Pl Raspall,121915,18340.74712643678,57643
2,Eixample,Ptge Tasso,266857,18867.71676300578,128137
1,Ciutat Vella,Pl Universitat,106028,11517.703703703704,33685
2,Eixample,Viladomat,266857,18867.71676300578,128137
3,Sants-Montjuïc,Iecla,183770,14625.393162393162,79559
1,Ciutat Vella,Moll Oriental,106028,11517.703703703704,33685
4,Les Corts,Rubió i Lluch,81074,22022.035087719298,48622
9,Sant Andreu,Pl Sot Paletes,149826,15124.747368421053,65745
9,Sant Andreu,Pl A Badia i Mur,149826,15124.747368421053,65745
7,Horta-Guinardó,Pl Mitja Lluna,172109,15152.317073170732,80895
7,Horta-Guinardó,Ptge Pinsà,172109,15152.317073170732,80895
10,Sant Martí,Ptge Xavier Lloren,239465,15323.08843537415,103094
6,Gràcia,Agramunt,121915,18340.74712643678,57643
7,Horta-Guinardó,Arbós,172109,15152.317073170732,80895
1,Ciutat Vella,Rambla,106028,11517.703703703704,33685
1,Ciutat Vella,Nou de la Rambla,106028,11517.703703703704,33685
9,Sant Andreu,Eiximenis,149826,15124.747368421053,65745
1,Ciutat Vella,Heures,106028,11517.703703703704,33685
6,Gràcia,Ptge G Abiell,121915,18340.74712643678,57643
10,Sant Martí,Gelida,239465,15323.08843537415,103094
